Wall time,Step,Value
1710125127.5548747,90,-112.19999694824219
1710125179.3814213,235,-98.80000305175781
1710125205.332901,310,-90.80000305175781
1710125207.3701358,315,-116.80000305175781
1710125221.5730934,355,-132.8000030517578
1710125231.8889613,385,-121.4000015258789
1710125242.5536463,410,-102.80000305175781
1710125252.3237073,445,-90.4000015258789
1710125279.1003017,515,-137.1999969482422
1710125283.1581516,535,-79.0
1710125309.1485596,640,-87.4000015258789
1710125311.3565526,650,-94.80000305175781
1710125350.1649096,785,-137.60000610351562
1710125354.6760092,800,-107.19999694824219
1710125360.2109172,820,-90.19999694824219
1710125371.4338343,860,-95.0
1710125405.882466,955,-106.4000015258789
1710125425.0113945,1015,-89.4000015258789
1710125475.6205482,1145,-66.80000305175781
1710125507.9305415,1220,-71.19999694824219
1710125509.1110325,1225,-63.599998474121094
1710125534.2584953,1295,-99.4000015258789
1710125548.000248,1355,-56.599998474121094
1710125551.9766686,1370,-89.5999984741211
1710125561.1903698,1410,-88.4000015258789
1710125565.3945014,1425,-71.0
1710125580.729616,1475,-120.0
1710125616.6157434,1580,-123.0
1710125619.9167542,1595,-61.20000076293945
1710125681.2281864,1730,-79.80000305175781
1710125713.1347823,1790,-84.19999694824219
1710125733.0848336,1830,-89.4000015258789
1710125769.2021437,1890,-108.5999984741211
1710125794.6195903,1930,-137.8000030517578
1710125802.4802365,1950,-83.80000305175781
1710125826.4752436,2010,-74.80000305175781
1710125852.996305,2075,-93.80000305175781
1710125915.869173,2180,-150.8000030517578
1710125918.327777,2185,-99.0
1710125925.0941622,2195,-145.8000030517578
1710125950.1202772,2230,-148.60000610351562
1710125997.2523627,2305,-70.4000015258789
1710126010.6927633,2325,-160.1999969482422
1710126037.950554,2375,-111.4000015258789
1710126050.2503722,2400,-76.80000305175781
1710126053.31298,2405,-56.20000076293945
1710126151.8955197,2550,-47.599998474121094
1710126160.0292594,2560,-36.400001525878906
1710126162.9494686,2565,-47.599998474121094
1710126220.436272,2665,-95.80000305175781
1710126237.5138528,2690,-66.5999984741211
1710126242.2050488,2700,-54.0
1710126274.2392054,2760,-117.5999984741211
1710126288.7624285,2780,-80.80000305175781
1710126316.013505,2810,-64.4000015258789
1710126411.1685956,2950,-52.599998474121094
1710126424.1049166,2970,-39.400001525878906
1710126431.787582,2980,-36.400001525878906
1710126543.8613892,3145,39.400001525878906
1710126575.4685705,3185,20.600000381469727
1710126599.1941175,3215,107.19999694824219
1710126603.9877083,3220,101.0
1710126652.1227903,3290,-76.80000305175781
1710126691.8702085,3335,-118.5999984741211
1710126718.6354506,3375,-62.599998474121094
1710126890.45435,3605,2.200000047683716
1710126897.970458,3625,28.200000762939453
1710126956.7028906,3720,2.799999952316284
1710127010.5545704,3820,-127.4000015258789
1710127028.2272966,3875,542.4000244140625
1710127037.430083,3910,700.0
1710127045.3321192,3940,133.1999969482422
1710127069.948759,4020,539.5999755859375
1710127090.633356,4095,542.7999877929688
1710127113.091041,4160,262.20001220703125
1710127157.4710255,4285,66.5999984741211
1710127217.8324938,4330,-133.60000610351562
1710127252.6316116,4430,685.5999755859375
1710127266.1476705,4505,682.7999877929688
1710127295.1348355,4650,692.2000122070312
1710127308.650742,4710,686.0
1710127314.7373753,4745,397.79998779296875
1710127365.3121765,4995,538.5999755859375
1710127367.750502,5010,671.5999755859375
1710127369.4748414,5020,689.0
1710127379.5228915,5075,667.0
1710127385.3720224,5110,523.0
1710127388.9889972,5130,674.7999877929688
1710127390.777568,5140,531.5999755859375
1710127399.4380786,5185,538.0
1710127416.678316,5280,663.2000122070312
1710127428.3062425,5350,666.2000122070312
1710127429.1837118,5355,665.5999755859375
1710127434.170804,5385,526.2000122070312
1710127450.487592,5490,687.0
1710127454.9375806,5520,537.7999877929688
1710127458.5929582,5545,542.5999755859375
1710127460.203938,5555,549.0
1710127473.5882123,5625,668.0
1710127480.3950074,5660,666.2000122070312
1710127493.0377839,5730,662.0
1710127497.7260623,5755,662.0
1710127498.4399667,5760,526.2000122070312
1710127508.990851,5820,661.7999877929688
1710127517.956006,5870,659.0
1710127519.7828534,5880,678.2000122070312
1710127526.090268,5920,529.2000122070312
1710127534.5139215,5965,695.0
1710127561.723691,6090,676.0
1710127569.2737606,6125,528.5999755859375
1710127591.8799977,6230,671.2000122070312
1710127596.6937478,6255,670.0
1710127597.736172,6260,522.4000244140625
1710127599.74298,6270,524.4000244140625
1710127602.5983484,6285,666.4000244140625
1710127606.7461681,6305,671.7999877929688
1710127612.8715334,6335,681.5999755859375
1710127618.3541858,6355,393.3999938964844
1710127624.6381748,6380,661.7999877929688
1710127648.3434927,6490,673.4000244140625
1710127676.377649,6625,684.2000122070312
1710127693.8075306,6725,665.5999755859375
1710127706.8796,6800,531.5999755859375
1710127710.1709344,6820,668.2000122070312
1710127719.6250029,6875,526.0
1710127720.4130938,6880,532.7999877929688
1710127763.237147,7085,526.2000122070312
1710127783.9015148,7190,666.7999877929688
1710127784.905449,7195,680.4000244140625
1710127802.253979,7285,658.2000122070312
1710127803.327043,7290,669.7999877929688
1710127819.6465955,7370,685.2000122070312
1710127821.7535443,7380,678.0
1710127838.022038,7470,520.0
1710127845.925,7510,671.7999877929688
1710127853.6970615,7550,672.7999877929688
1710127857.033362,7565,676.2000122070312
1710127889.8256195,7740,529.2000122070312
1710127892.412332,7755,678.0
1710127904.8957453,7825,675.4000244140625
1710127907.8895664,7840,665.7999877929688
1710127912.3014667,7865,676.5999755859375
1710127922.3436472,7925,381.6000061035156
1710127931.7632482,7980,529.2000122070312
1710127936.1826057,8005,672.0
1710127959.430235,8135,522.4000244140625
1710127966.3165703,8175,527.2000122070312
1710128001.8206904,8350,522.7999877929688
1710128015.691396,8395,527.2000122070312
1710128020.9761481,8425,529.7999877929688
1710128037.3824399,8510,674.7999877929688
1710128039.334074,8520,538.2000122070312
1710128042.3992083,8535,670.5999755859375
1710128046.3915195,8555,670.5999755859375
1710128109.2306812,8875,668.7999877929688
1710128111.0177233,8885,665.0
1710128121.5718107,8945,672.0
1710128124.6219711,8960,674.0
1710128131.7449305,9000,670.4000244140625
1710128173.303185,9235,531.4000244140625
1710128176.9581814,9255,672.2000122070312
1710128184.859288,9300,663.7999877929688
1710128191.056373,9335,672.5999755859375
1710128209.0617592,9440,670.5999755859375
1710128219.5105977,9495,669.7999877929688
1710128222.8722012,9510,672.0
1710128229.3994775,9540,668.0
1710128230.5489202,9545,671.7999877929688
1710128246.3713617,9620,677.7999877929688
1710128258.1452844,9680,672.7999877929688
1710128262.017774,9700,671.2000122070312
